,season,date_game,school_name,game_location,opp_name,game_type,game_result,gs,mp,fg,fga,fg_pct,fg2,fg2a,fg2_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts
190,2021-22,2021-11-28,Kansas,N,Iona,REG,W,1,34,8,15,.533,6,10,.600,2,5,.400,0,1,.000,4,3,7,4,2,1,3,2,18
191,2021-22,2021-12-03,Kansas,@,St. John's (NY),REG,W,1,35,10,16,.625,8,12,.667,2,4,.500,9,10,.900,3,5,8,4,3,1,2,2,31
192,2021-22,2021-12-07,Kansas,,UTEP,REG,W,1,28,9,13,.692,8,10,.800,1,3,.333,1,2,.500,2,4,6,0,1,1,2,1,20
193,2021-22,2021-12-11,Kansas,,Missouri,REG,W,1,28,5,9,.556,4,5,.800,1,4,.250,2,3,.667,0,4,4,3,1,3,1,0,13
194,2021-22,2021-12-18,Kansas,,Stephen F. Austin,REG,W,1,36,8,12,.667,7,9,.778,1,3,.333,4,5,.800,2,4,6,3,1,2,2,2,21
195,2021-22,2021-12-29,Kansas,,Nevada,REG,W,1,32,8,14,.571,7,11,.636,1,3,.333,5,5,1.000,0,4,4,2,2,2,1,2,22
196,2021-22,2022-01-01,Kansas,,George Mason,REG,W,1,36,3,12,.250,1,6,.167,2,6,.333,6,6,1.000,0,3,3,6,1,1,1,3,14
197,2021-22,2022-01-04,Kansas,@,Oklahoma State,REG,W,1,35,5,11,.455,3,8,.375,2,3,.667,3,4,.750,1,5,6,6,1,0,3,0,15
198,2021-22,2022-01-08,Kansas,@,Texas Tech,REG,L,1,33,4,10,.400,4,8,.500,0,2,.000,2,4,.500,1,5,6,3,1,0,3,3,10
199,2021-22,2022-01-11,Kansas,,Iowa State,REG,W,1,38,5,13,.385,3,7,.429,2,6,.333,1,2,.500,4,3,7,2,1,1,3,1,13
200,2021-22,2022-01-15,Kansas,,West Virginia,REG,W,1,35,3,10,.300,3,7,.429,0,3,.000,2,2,1.000,0,6,6,5,1,5,4,3,8
201,2021-22,2022-01-18,Kansas,@,Oklahoma,REG,W,1,33,5,8,.625,2,3,.667,3,5,.600,2,2,1.000,2,2,4,1,1,0,1,4,15
202,2021-22,2022-01-22,Kansas,@,Kansas State,REG,W,1,35,3,9,.333,2,4,.500,1,5,.200,4,6,.667,1,1,2,5,1,1,3,1,11
203,2021-22,2022-01-24,Kansas,,Texas Tech,REG,W,1,49,4,13,.308,3,7,.429,1,6,.167,6,7,.857,4,3,7,6,0,0,3,3,15
